,title,address.label,distance,access,position.lat,position.lng,address.postalCode,id
10,Anand Niketan-Gate No 5,"Anand Niketan-Gate No 5, Anand Niketan-Block D, Moti Bagh, Delhi 110021, India",2722,"[{'lat': 28.58152, 'lng': 77.16382}]",28.58164,77.16392,110021,here:pds:place:356jx7ps-7b8ceaf69f7e044f40bf7c0dabf721e6
11,Kaveri Apartment Exit Gate,"Kaveri Apartment Exit Gate, Sector D-Pocket 6, Vasant Kunj, Delhi 110070, India",3687,"[{'lat': 28.52532, 'lng': 77.15263}]",28.52545,77.15263,110070,here:pds:place:356ttnf7-ed2ffca5acef43c7aa135cd87453a741
12,Avalon Apartment,"Avalon Apartment, New Manglapuri, Chhatarpur, Delhi 110030, India",6186,"[{'lat': 28.50165, 'lng': 77.16655}]",28.50158,77.16642,110030,here:pds:place:356ttnf5-5ab479d5a5174530b50cc49795164b7d
13,Swati Working Girls Hostel,"Swati Working Girls Hostel, Kali Bari Marg, Kali Bari-Type 1, Presidents Estate, New Delhi 110001, India",8847,"[{'lat': 28.63002, 'lng': 77.2}]",28.63004,77.2,110001,here:pds:place:356jx7ps-7cb1f16eb92f0b555f31bc73e6e30139
14,BSNL Employees Residence,"BSNL Employees Residence, Udyan Marg, Dig Area, Gole Market, New Delhi 110001, India",8962,"[{'lat': 28.63042, 'lng': 77.20193}]",28.63043,77.20191,110001,here:pds:place:356jx7ps-5d756e863aa00835aaaf32fd2136a9de
15,Central Government Employees Residential Complex Sector-II,"Central Government Employees Residential Complex Sector-II, Peshwa Road, Dig Area, Gole Market, New Delhi 110001, India",9076,"[{'lat': 28.63103, 'lng': 77.20266}]",28.63121,77.20277,110001,here:pds:place:356jx7ps-f5e01c2fb23703b37c4fc2cbe642e266
16,CPWD Multi Storied MPS Flats,"CPWD Multi Storied MPS Flats, Gole Market, New Delhi 110001, India",9329,"[{'lat': 28.63221, 'lng': 77.20626}]",28.63221,77.20636,110001,here:pds:place:356ttnfu-de69ac189fb24c278c4d4628b3b02f0b
17,Pewshwa Road Apartments A & B Block,"Pewshwa Road Apartments A & B Block, Peshwa Road, Dig Area, Gole Market, New Delhi 110001, India",9494,"[{'lat': 28.63534, 'lng': 77.2026}]",28.63539,77.20263,110001,here:pds:place:356ttnfu-d8dd43a0938141498014404a9ba71c57
18,Rwa Central Government employees-Gate No. 11,"Rwa Central Government employees-Gate No. 11, Raja Bazar, Connaught Place, New Delhi 110001, India",9538,"[{'lat': 28.63304, 'lng': 77.20907}]",28.63304,77.20922,110001,here:pds:place:356jx7ps-149337f0de3e07e6effe4ed6a2ef46ef
19,Secret-D,"Secret-D, Dig Area, Gole Market, New Delhi 110001, India",9620,"[{'lat': 28.63673, 'lng': 77.2027}]",28.63662,77.20262,110001,here:pds:place:356jx7ps-8dd1c656769c0c243b56d925d7f3f5d4
